year,metric,language,percent,sample_size,population,source_url,published_at
2017,jetbrains-planned-adoption,Python,12,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Go,11,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Swift,11,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Other,9,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,TypeScript,9,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Java,6,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Ruby,6,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Scala,6,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,C++,5,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,JavaScript,5,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,PHP,5,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,R,5,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,C#,4,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,SQL,4,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,C,3,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Elixir,3,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,HTML / CSS,3,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Haskell,3,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Kotlin,3,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Clojure / CLJS,2,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,CoffeeScript,2,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Objective-C,2,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Groovy,1,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-planned-adoption,Visual Basic,1,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-primary-language,Java,26,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-primary-language,JavaScript,16,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-primary-language,PHP,12,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-primary-language,Python,10,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-primary-language,C#,9,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-primary-language,C++,5,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-primary-language,Others,5,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-primary-language,C,4,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
