period,publication_date,language,rank,source_url,provenance
2016-01-01,2016-01-15,JavaScript,1,https://redmonk.com/sogrady/2016/01/lang-rank/,official
2016-01-01,2016-01-15,Python,2,https://redmonk.com/sogrady/2016/01/lang-rank/,official
2016-01-01,2016-01-15,Java,3,https://redmonk.com/sogrady/2016/01/lang-rank/,official
2016-01-01,2016-01-15,C++,4,https://redmonk.com/sogrady/2016/01/lang-rank/,official
2016-01-01,2016-01-15,Rust,6,https://redmonk.com/sogrady/2016/01/lang-rank/,official
2016-06-01,2016-06-15,JavaScript,1,https://redmonk.com/sogrady/2016/06/lang-rank/,official
2016-06-01,2016-06-15,Python,2,https://redmonk.com/sogrady/2016/06/lang-rank/,official
2016-06-01,2016-06-15,Java,3,https://redmonk.com/sogrady/2016/06/lang-rank/,official
2016-06-01,2016-06-15,C++,4,https://redmonk.com/sogrady/2016/06/lang-rank/,official
2016-06-01,2016-06-15,Rust,6,https://redmonk.com/sogrady/2016/06/lang-rank/,official
2017-01-01,2017-01-15,JavaScript,1,https://redmonk.com/sogrady/2017/01/lang-rank/,official
2017-01-01,2017-01-15,Python,2,https://redmonk.com/sogrady/2017/01/lang-rank/,official
2017-01-01,2017-01-15,Java,3,https://redmonk.com/sogrady/2017/01/lang-rank/,official
2017-01-01,2017-01-15,C++,4,https://redmonk.com/sogrady/2017/01/lang-rank/,official
2017-01-01,2017-01-15,Rust,6,https://redmonk.com/sogrady/2017/01/lang-rank/,official
2017-06-01,2017-06-15,JavaScript,1,https://redmonk.com/sogrady/2017/06/lang-rank/,official
2017-06-01,2017-06-15,Python,2,https://redmonk.com/sogrady/2017/06/lang-rank/,official
2017-06-01,2017-06-15,Java,3,https://redmonk.com/sogrady/2017/06/lang-rank/,official
2017-06-01,2017-06-15,C++,4,https://redmonk.com/sogrady/2017/06/lang-rank/,official
2017-06-01,2017-06-15,Rust,6,https://redmonk.com/sogrady/2017/06/lang-rank/,official
2018-01-01,2018-01-15,JavaScript,1,https://redmonk.com/sogrady/2018/01/lang-rank/,official
2018-01-01,2018-01-15,Python,2,https://redmonk.com/sogrady/2018/01/lang-rank/,official
2018-01-01,2018-01-15,Java,3,https://redmonk.com/sogrady/2018/01/lang-rank/,official
2018-01-01,2018-01-15,C++,4,https://redmonk.com/sogrady/2018/01/lang-rank/,official
2018-01-01,2018-01-15,Rust,6,https://redmonk.com/sogrady/2018/01/lang-rank/,official
2018-06-01,2018-06-15,JavaScript,1,https://redmonk.com/sogrady/2018/06/lang-rank/,official
2018-06-01,2018-06-15,Python,2,https://redmonk.com/sogrady/2018/06/lang-rank/,official
2018-06-01,2018-06-15,Java,3,https://redmonk.com/sogrady/2018/06/lang-rank/,official
2018-06-01,2018-06-15,C++,4,https://redmonk.com/sogrady/2018/06/lang-rank/,official
2018-06-01,2018-06-15,Rust,6,https://redmonk.com/sogrady/2018/06/lang-rank/,official
2019-01-01,2019-01-15,JavaScript,1,https://redmonk.com/sogrady/2019/01/lang-rank/,official
2019-01-01,2019-01-15,Python,2,https://redmonk.com/sogrady/2019/01/lang-rank/,official
2019-01-01,2019-01-15,Java,3,https://redmonk.com/sogrady/2019/01/lang-rank/,official
2019-01-01,2019-01-15,C++,4,https://redmonk.com/sogrady/2019/01/lang-rank/,official
2019-01-01,2019-01-15,Rust,6,https://redmonk.com/sogrady/2019/01/lang-rank/,official
2019-06-01,2019-06-15,JavaScript,1,https://redmonk.com/sogrady/2019/06/lang-rank/,official
2019-06-01,2019-06-15,Python,2,https://redmonk.com/sogrady/2019/06/lang-rank/,official
2019-06-01,2019-06-15,Java,3,https://redmonk.com/sogrady/2019/06/lang-rank/,official
2019-06-01,2019-06-15,C++,4,https://redmonk.com/sogrady/2019/06/lang-rank/,official
2019-06-01,2019-06-15,Rust,6,https://redmonk.com/sogrady/2019/06/lang-rank/,official
2020-01-01,2020-01-15,JavaScript,1,https://redmonk.com/sogrady/2020/01/lang-rank/,official
2020-01-01,2020-01-15,Python,2,https://redmonk.com/sogrady/2020/01/lang-rank/,official
2020-01-01,2020-01-15,Java,3,https://redmonk.com/sogrady/2020/01/lang-rank/,official
2020-01-01,2020-01-15,C++,4,https://redmonk.com/sogrady/2020/01/lang-rank/,official
2020-01-01,2020-01-15,Rust,6,https://redmonk.com/sogrady/2020/01/lang-rank/,official
2020-06-01,2020-06-15,JavaScript,1,https://redmonk.com/sogrady/2020/06/lang-rank/,official
