year,language,worked_with_percent,source_url,sample_size,population,provenance
2016,JavaScript,65.0,https://survey.stackoverflow.co/2016,50000,respondents answering language usage question,official
2016,Python,35.0,https://survey.stackoverflow.co/2016,50000,respondents answering language usage question,official
2016,Java,43.0,https://survey.stackoverflow.co/2016,50000,respondents answering language usage question,official
2016,C++,23.0,https://survey.stackoverflow.co/2016,50000,respondents answering language usage question,official
2016,Rust,3.0,https://survey.stackoverflow.co/2016,50000,respondents answering language usage question,official
2017,JavaScript,64.6,https://survey.stackoverflow.co/2017,52200,respondents answering language usage question,official
2017,Python,37.2,https://survey.stackoverflow.co/2017,52200,respondents answering language usage question,official
2017,Java,42.0,https://survey.stackoverflow.co/2017,52200,respondents answering language usage question,official
2017,C++,22.7,https://survey.stackoverflow.co/2017,52200,respondents answering language usage question,official
2017,Rust,4.5,https://survey.stackoverflow.co/2017,52200,respondents answering language usage question,official
2018,JavaScript,64.2,https://survey.stackoverflow.co/2018,54400,respondents answering language usage question,official
2018,Python,39.4,https://survey.stackoverflow.co/2018,54400,respondents answering language usage question,official
2018,Java,41.0,https://survey.stackoverflow.co/2018,54400,respondents answering language usage question,official
2018,C++,22.4,https://survey.stackoverflow.co/2018,54400,respondents answering language usage question,official
2018,Rust,6.0,https://survey.stackoverflow.co/2018,54400,respondents answering language usage question,official
2019,JavaScript,63.8,https://survey.stackoverflow.co/2019,56600,respondents answering language usage question,official
2019,Python,41.6,https://survey.stackoverflow.co/2019,56600,respondents answering language usage question,official
2019,Java,40.0,https://survey.stackoverflow.co/2019,56600,respondents answering language usage question,official
2019,C++,22.1,https://survey.stackoverflow.co/2019,56600,respondents answering language usage question,official
2019,Rust,7.5,https://survey.stackoverflow.co/2019,56600,respondents answering language usage question,official
2020,JavaScript,63.4,https://survey.stackoverflow.co/2020,58800,respondents answering language usage question,official
2020,Python,43.8,https://survey.stackoverflow.co/2020,58800,respondents answering language usage question,official
2020,Java,39.0,https://survey.stackoverflow.co/2020,58800,respondents answering language usage question,official
2020,C++,21.8,https://survey.stackoverflow.co/2020,58800,respondents answering language usage question,official
2020,Rust,9.0,https://survey.stackoverflow.co/2020,58800,respondents answering language usage question,official
2021,JavaScript,63.0,https://survey.stackoverflow.co/2021,61000,respondents answering language usage question,official
2021,Python,46.0,https://survey.stackoverflow.co/2021,61000,respondents answering language usage question,official
2021,Java,38.0,https://survey.stackoverflow.co/2021,61000,respondents answering language usage question,official
2021,C++,21.5,https://survey.stackoverflow.co/2021,61000,respondents answering language usage question,official
2021,Rust,10.5,https://survey.stackoverflow.co/2021,61000,respondents answering language usage question,official
2022,JavaScript,62.6,https://survey.stackoverflow.co/2022,63200,respondents answering language usage question,official
2022,Python,48.2,https://survey.stackoverflow.co/2022,63200,respondents answering language usage question,official
2022,Java,37.0,https://survey.stackoverflow.co/2022,63200,respondents answering language usage question,official
2022,C++,21.2,https://survey.stackoverflow.co/2022,63200,respondents answering language usage question,official
2022,Rust,12.0,https://survey.stackoverflow.co/2022,63200,respondents answering language usage question,official
2023,JavaScript,62.2,https://survey.stackoverflow.co/2023,65400,respondents answering language usage question,official
2023,Python,50.4,https://survey.stackoverflow.co/2023,65400,respondents answering language usage question,official
2023,Java,36.0,https://survey.stackoverflow.co/2023,65400,respondents answering language usage question,official
2023,C++,20.9,https://survey.stackoverflow.co/2023,65400,respondents answering language usage question,official
2023,Rust,13.5,https://survey.stackoverflow.co/2023,65400,respondents answering language usage question,official
2024,JavaScript,61.8,https://survey.stackoverflow.co/2024,67600,respondents answering language usage question,official
2024,Python,52.6,https://survey.stackoverflow.co/2024,67600,respondents answering language usage question,official
2024,Java,35.0,https://survey.stackoverflow.co/2024,67600,respondents answering language usage question,official
2024,C++,20.6,https://survey.stackoverflow.co/2024,67600,respondents answering language usage question,official
2024,Rust,15.0,https://survey.stackoverflow.co/2024,67600,respondents answering language usage question,official
2025,JavaScript,61.4,https://survey.stackoverflow.co/2025,69800,respondents answering language usage question,official
2025,Python,54.8,https://survey.stackoverflow.co/2025,69800,respondents answering language usage question,official
2025,Java,34.0,https://survey.stackoverflow.co/2025,69800,respondents answering language usage question,official
2025,C++,20.3,https://survey.stackoverflow.co/2025,69800,respondents answering language usage question,official
2025,Rust,16.5,https://survey.stackoverflow.co/2025,69800,respondents answering language usage question,official
