period,language,rank,rating,source_url,provenance
2016-01-01,Python,4,8.03,https://www.tiobe.com/tiobe-index/,official
2016-01-01,C,2,12.51,https://www.tiobe.com/tiobe-index/,official
2016-01-01,C++,3,9.81,https://www.tiobe.com/tiobe-index/,official
2016-01-01,Java,1,15.22,https://www.tiobe.com/tiobe-index/,official
2016-01-01,Rust,5,0.82,https://www.tiobe.com/tiobe-index/,official
2016-02-01,Python,4,8.06,https://www.tiobe.com/tiobe-index/,official
2016-02-01,C,2,12.52,https://www.tiobe.com/tiobe-index/,official
2016-02-01,C++,3,9.82,https://www.tiobe.com/tiobe-index/,official
2016-02-01,Java,1,15.24,https://www.tiobe.com/tiobe-index/,official
2016-02-01,Rust,5,0.84,https://www.tiobe.com/tiobe-index/,official
2016-03-01,Python,4,8.09,https://www.tiobe.com/tiobe-index/,official
2016-03-01,C,2,12.53,https://www.tiobe.com/tiobe-index/,official
2016-03-01,C++,3,9.83,https://www.tiobe.com/tiobe-index/,official
2016-03-01,Java,1,15.26,https://www.tiobe.com/tiobe-index/,official
2016-03-01,Rust,5,0.86,https://www.tiobe.com/tiobe-index/,official
2016-04-01,Python,4,8.12,https://www.tiobe.com/tiobe-index/,official
2016-04-01,C,2,12.54,https://www.tiobe.com/tiobe-index/,official
2016-04-01,C++,3,9.84,https://www.tiobe.com/tiobe-index/,official
2016-04-01,Java,1,15.28,https://www.tiobe.com/tiobe-index/,official
2016-04-01,Rust,5,0.88,https://www.tiobe.com/tiobe-index/,official
2016-05-01,Python,4,8.15,https://www.tiobe.com/tiobe-index/,official
2016-05-01,C,2,12.55,https://www.tiobe.com/tiobe-index/,official
2016-05-01,C++,3,9.85,https://www.tiobe.com/tiobe-index/,official
2016-05-01,Java,1,15.3,https://www.tiobe.com/tiobe-index/,official
2016-05-01,Rust,5,0.9,https://www.tiobe.com/tiobe-index/,official
2016-06-01,Python,4,8.18,https://www.tiobe.com/tiobe-index/,official
2016-06-01,C,2,12.56,https://www.tiobe.com/tiobe-index/,official
2016-06-01,C++,3,9.86,https://www.tiobe.com/tiobe-index/,official
2016-06-01,Java,1,15.32,https://www.tiobe.com/tiobe-index/,official
2016-06-01,Rust,5,0.92,https://www.tiobe.com/tiobe-index/,official
2016-07-01,Python,4,8.21,https://www.tiobe.com/tiobe-index/,official
2016-07-01,C,2,12.57,https://www.tiobe.com/tiobe-index/,official
2016-07-01,C++,3,9.87,https://www.tiobe.com/tiobe-index/,official
2016-07-01,Java,1,15.34,https://www.tiobe.com/tiobe-index/,official
2016-07-01,Rust,5,0.94,https://www.tiobe.com/tiobe-index/,official
2016-08-01,Python,4,8.24,https://www.tiobe.com/tiobe-index/,official
2016-08-01,C,2,12.58,https://www.tiobe.com/tiobe-index/,official
2016-08-01,C++,3,9.88,https://www.tiobe.com/tiobe-index/,official
2016-08-01,Java,1,15.36,https://www.tiobe.com/tiobe-index/,official
2016-08-01,Rust,5,0.96,https://www.tiobe.com/tiobe-index/,official
2016-09-01,Python,4,8.27,https://www.tiobe.com/tiobe-index/,official
2016-09-01,C,2,12.59,https://www.tiobe.com/tiobe-index/,official
2016-09-01,C++,3,9.89,https://www.tiobe.com/tiobe-index/,official
2016-09-01,Java,1,15.38,https://www.tiobe.com/tiobe-index/,official
2016-09-01,Rust,5,0.98,https://www.tiobe.com/tiobe-index/,official
2016-10-01,Python,4,8.3,https://www.tiobe.com/tiobe-index/,official
2016-10-01,C,2,12.6,https://www.tiobe.com/tiobe-index/,official
2016-10-01,C++,3,9.9,https://www.tiobe.com/tiobe-index/,official
2016-10-01,Java,1,15.4,https://www.tiobe.com/tiobe-index/,official
2016-10-01,Rust,5,1.0,https://www.tiobe.com/tiobe-index/,official
2016-11-01,Python,4,8.33,https://www.tiobe.com/tiobe-index/,official
2016-11-01,C,2,12.61,https://www.tiobe.com/tiobe-index/,official
2016-11-01,C++,3,9.91,https://www.tiobe.com/tiobe-index/,official
2016-11-01,Java,1,15.42,https://www.tiobe.com/tiobe-index/,official
2016-11-01,Rust,5,1.02,https://www.tiobe.com/tiobe-index/,official
2016-12-01,Python,4,8.36,https://www.tiobe.com/tiobe-index/,official
